,SMILES,pChEMBL Value
88,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1-c1ccc(=O)n(C(C)C)c1,7.89
125,CC(=O)N1CCC(O)(c2ccc3nc(C)nc(N[C@H](C)c4cccc(C)c4)c3c2)CC1,7.85
190,CCN(C)C(=O)[C@H]1CC[C@@H](c2ccc3nc(C)nc(N[C@H](C)c4cc(N)cc(C(F)(F)F)c4)c3c2)CC1,7.82
9,CC(=O)N1CCC(O)(c2ccc3nc(C)nc(N[C@H](C)c4cccc(C(F)(F)F)c4)c3c2)CC1,7.82
169,CONC(=O)CC(C)c1cc2c(N[C@H](C)c3cccc(C(F)(F)F)c3)nc(C)nc2cc1OC,7.8
7,CNC(=O)CC(C)c1cc2c(N[C@H](C)c3cccc(C(F)(F)F)c3)nc(C)nc2cc1OC,7.77
159,CC(=O)N1CCC(c2ccc3nc(C)nc(N[C@H](C)c4cccc(C(F)(F)F)c4)c3c2)CC1,7.77
137,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(-c4cc5n(n4)CCC(=O)N5)cc23)c1,7.74
47,Cc1nc(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)c2cc(-c3ccc(=O)n(C)c3)c(F)cc2n1,7.74
86,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C)c3)c2cc1C1CCS(=O)(=O)CC1,7.74
176,COCCN1CCN(C(=O)[C@H]2CC[C@@H](c3cc4c(N[C@H](C)c5cc(N)cc(C(F)(F)F)c5F)nc(C)nc4cc3OC)CC2)CC1,7.74
92,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc([C@H]4CC[S@](=N)(=O)CC4)cc23)c1,7.74
41,Cc1cccc([C@@H](C)Nc2nc(C)nc3c(C)cc(C4CCN(C(C)C)CC4)cc23)c1,7.74
80,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C4(O)COC4)c3)c2cc1C1CCN(C(C)=O)CC1,7.74
13,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C3=CCNCC3)ccc2n1,7.74
83,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc([C@H]3CC[C@H](C(=O)N4CC(F)C4)CC3)ccc2n1,7.72
24,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C3=CCC(C(=O)N(C)C)CC3)ccc2n1,7.72
175,COCC(=O)N1CCC(c2cc3c(N[C@H](C)c4cccc(C)c4)nc(C)nc3cc2OC)CC1,7.7
114,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C3(O)CCS(=O)(=O)CC3)ccc2n1,7.7
11,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc([C@]3(O)CC[C@H](O)CC3)ccc2n1,7.7
21,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc([C@]3(O)CC[C@H](O)CC3)cc(C)c2n1,7.7
153,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(C4CCS(=N)(=O)CC4)cc23)c1,7.7
123,COCC(=O)N1CCC(c2cc(C)c3nc(C)nc(N[C@H](C)c4cccc(C)c4)c3c2)CC1,7.68
96,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1C(C)CC(=O)NC1CC1,7.68
27,COc1cc2nc(C)nc(N[C@H](C)c3cc(N)cc(C(F)(F)F)c3)c2cc1[C@H]1CC[C@@H](C(=O)N2CCN(C)CC2)CC1,7.66
50,COCC(=O)N1CCC(c2ccc3nc(C)nc(N[C@H](C)c4cccc(C)c4)c3c2)CC1,7.66
170,Cc1cccc([C@@H](C)Nc2nc(C)nc3ccc(C4CC[S+]([O-])CC4)cc23)c1,7.66
124,Cc1nc(N[C@H](C)c2cccc(C(F)(F)F)c2)c2cc(C3CCNCC3)ccc2n1,7.66
