,SMILES,pChEMBL Value
149,NS(=O)(=O)c1ccc(Oc2ccc(F)c(Cl)c2)cc1,4.13
150,NS(=O)(=O)c1ccc(Oc2ccc(F)c(Cl)c2)c(CN2CCN(C3COC3)CC2)c1,5.17
151,NS(=O)(=O)c1ccc(Oc2ccc(F)c(Cl)c2)c(CN2CCN(C3CC3)CC2)c1,4.64
152,NS(=O)(=O)c1ccc(Oc2ccc(F)c(Cl)c2)c(CN2CCNCC2)c1,5.13
153,NS(=O)(=O)c1ccc(Nc2ccc(F)c(Cl)c2)cc1,4.05
154,NS(=O)(=O)c1ccc(Oc2ccc(F)c(Cl)c2)c(CN2CCN(C3CCCC3)CC2)c1,4.52
155,CN(C)Cc1cc(S(N)(=O)=O)ccc1Oc1ccc(F)c(Cl)c1,4.21
156,CNCc1ccc(-c2cccc(Cl)c2)o1,3.14
157,NS(=O)(=O)c1ccc(Oc2ccc(F)c(Cl)c2)c(CC2CNC2)c1,5.04
158,NCCN1CCN(Cc2cc(S(N)(=O)=O)ccc2Oc2ccc(F)c(Cl)c2)CC1,4.79
159,NS(=O)(=O)c1ccc(Oc2ccc(F)c(Cl)c2)c(CN2CCN(CCO)CC2)c1,5.41
160,Cc1cc2nc(N3CCNCC3)n(Cc3ccccc3)c2cc1C,5.07
