Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,index,Smiles
CHEMBL4212702,25293.333333333332,4.6,427,Cc1ncncc1-c1cc(Cl)cc2c1nc(N1CC3(CNC3)C1)n2Cc1ccc(F)cc1
CHEMBL4212756,390.0,6.41,813,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cnccn4)cc(Cl)cc32)cc(C)c1F
CHEMBL4213025,5314.666666666667,5.27,31,Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(N4CCN(C)CC4)cc(Cl)cc32)cc(C)c1F
CHEMBL4213053,24300.0,4.61,431,Fc1ccc(Cn2c(N3CCNCC3)nc3ccc(C4CC4)cc32)cc1Cl
CHEMBL4213612,270.0,6.57,564,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccccc4)cc(Cl)cc32)cc(C)c1F
CHEMBL4214176,15973.333333333334,4.8,20,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccccc4Cl)cc(Cl)cc32)cc(C)c1F
CHEMBL4214306,300.0,6.52,92,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4c(C)cccc4C)cc(Cl)cc32)cc(C)c1F
CHEMBL4214703,11736.333333333334,4.93,19,Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(-c4c(C)n[nH]c4C)cc(Cl)cc32)cc(C)c1F
CHEMBL4214821,3395.0,5.47,177,Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCN(C)CC4)cc(Cl)cc32)cc(C)c1F
CHEMBL4214844,5900.0,5.23,369,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(F)c(F)c3)c2cc1C
CHEMBL4215257,3546.6666666666665,5.45,102,Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCC[C@H]4CN)cc(Cl)cc32)cc(C)c1F
CHEMBL4215515,6600.0,5.18,517,Cc1cc2nc(N3CCC(N)CC3)n(Cc3ccc(F)c(Cl)c3)c2cc1C
CHEMBL4215811,5600.0,5.25,360,Cc1cc2nc(C3CCNCC3)n(Cc3ccc(F)c(Cl)c3)c2cc1C
CHEMBL4215883,9038.666666666666,5.04,372,Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(-c4cncnc4C)cc(Cl)cc32)cc(C)c1F
CHEMBL4215951,37100.0,4.43,34,Cc1cc2nc(NC3CCNCC3)n(Cc3ccc(F)c(Cl)c3)c2cc1C
CHEMBL4215997,3700.0,5.43,349,Cc1cc2nc(N3CCNCC3)n(Cc3cc(C)c(F)c(C)c3)c2cc1C
CHEMBL4216515,11700.0,4.93,118,Cc1cc2nc(N3CCNCC3)n(Cc3ccc(F)c(C4CC4)c3)c2cc1C
CHEMBL4216651,240.0,6.62,176,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccncc4)cc(Cl)cc32)cc(C)c1F
CHEMBL4217068,670.0,6.17,371,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cccc(C(F)(F)F)c4)cc(Cl)cc32)cc(C)c1F
CHEMBL4217185,8270.0,5.08,36,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4cncnc4C)cc(Cl)cc32)cc(C)c1F
CHEMBL4217465,1000.0,6.0,252,Fc1ccc(Cn2c(N3CCNCC3)nc3ccc(Cl)cc32)cc1Cl
CHEMBL4217599,12300.0,4.91,569,Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4c(C)n[nH]c4C)cc(Cl)cc32)cc(C)c1F
CHEMBL4217774,310.0,6.51,361,Cc1cc(Cn2c(N3CCNCC3)nc3c(N4CCC[C@H]4CO)cc(Cl)cc32)cc(C)c1F
CHEMBL4218552,12053.333333333334,4.92,17,Cc1cc(Cn2c(N3CCNCC3)nc3ccc(Cl)cc32)cc(C)c1F
CHEMBL4237333,6200.0,5.21,783,CC[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2ccccc12)C1CC1
CHEMBL4237599,21900.0,4.66,306,CCC(CC)Nc1nc(Nc2ccc(F)c(Cl)c2)nc2ccccc12
CHEMBL4237885,7100.0,5.15,831,Brc1cccc(Nc2nc(NCc3ccco3)c3ccccc3n2)c1
CHEMBL4238147,2700.0,5.57,559,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(CCN)cccc12)C1CC1
CHEMBL4239768,4200.0,5.38,706,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(N3CCNCC3)cccc12)C1CC1
CHEMBL4239886,1100.0,5.96,181,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(C3=CCN(C)CC3)cccc12)C1CC1
CHEMBL4241069,2500.0,5.6,439,CCC[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2ccccc12)C1CC1
CHEMBL4242100,44200.0,4.35,146,Fc1ccc(Nc2nc(NCC3CCC3)c3ccccc3n2)cc1Cl
CHEMBL4242567,16300.0,4.79,359,Fc1ccc(Nc2nc(NCC3CC3)c3ccccc3n2)cc1Cl
CHEMBL4243567,1800.0,5.74,500,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(C3=CCNCC3)cccc12)C1CC1
CHEMBL4243577,3000.0,5.52,705,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(C3CNC3)cccc12)C1CC1
CHEMBL4243999,6600.0,5.18,841,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(NCCN)cccc12)C1CC1
CHEMBL4245081,6400.0,5.19,840,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2ccccc12)C1CC1
CHEMBL4245906,13100.0,4.88,145,Fc1ccc(Nc2nc(NCc3ccco3)c3ccccc3n2)cc1Cl
CHEMBL4247794,2500.0,5.6,117,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(CN)cccc12)C1CC1
CHEMBL4248160,2000.0,5.7,309,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(CC3CNC3)cccc12)C1CC1
CHEMBL4250348,7700.0,5.11,310,C[C@@H](Nc1nc(Nc2ccc(F)c(Cl)c2)nc2c(NCCN(C)C)cccc12)C1CC1
